,0
0,284.01605
1,279.92917
2,277.23325
3,270.9888
4,261.53058
5,266.58517
6,274.48578
7,281.39636
8,285.6827
9,272.60883
10,280.93173
11,274.958
12,267.15192
13,279.54623
14,284.00516
15,283.16
16,270.59167
17,259.43997
18,264.4091
19,272.9585
20,275.31982
21,285.57834
22,277.1208
23,267.88654
24,266.02676
25,261.87903
26,265.92566
27,270.239
28,279.23727
29,283.1725
30,269.19614
31,272.67184
32,273.9122
33,269.2603
34,276.3949
35,277.40234
36,279.1656
37,276.62033
38,274.5164
39,272.5142
40,279.07
41,282.1565
42,278.38028
43,277.38773
44,264.9614
45,267.12863
46,258.94003
47,259.7978
48,260.77045
49,269.02856
50,266.03275
51,258.28516
52,259.36188
53,266.11276
54,270.6977
55,271.2526
56,270.7989
57,277.08072
58,266.9487
59,272.39578
60,275.58984
61,275.51926
62,255.82799
63,253.1762
64,252.90375
65,250.52594
66,251.65149
67,249.54716
68,255.28778
69,260.60416
70,264.78024
71,264.00168
72,259.43668
73,259.5458
74,268.9547
75,270.15967
76,269.39896
77,272.78702
78,264.91898
79,257.038
80,261.3953
81,267.2725
82,262.80157
83,274.31332
84,288.28812
85,277.84497
86,266.3103
87,266.41614
88,264.1919
89,262.74887
90,265.71323
91,271.13626
92,266.75085
93,249.00365
94,240.88713
95,239.7337
96,239.58534
97,236.01144
98,250.39333
99,249.07939
100,253.49228
101,243.88394
102,242.40045
103,245.6299
104,243.91904
105,242.77097
106,232.85487
107,228.29044
108,234.56058
109,239.38087
110,235.64531
111,244.68527
112,253.21341
113,248.74252
114,236.82791
115,234.81013
116,239.97653
117,242.59651
118,251.21483
119,244.98532
120,240.88554
121,240.68387
122,242.35745
123,240.44778
124,243.25603
125,244.72337
126,242.00848
127,245.19621
128,238.44661
129,237.97891
130,242.23553
131,243.98798
132,246.3614
133,255.61531
134,245.85649
135,238.624
136,243.12349
137,245.80002
138,243.3913
139,242.29945
140,252.26834
141,250.96738
142,241.36163
143,246.0738
144,247.79134
145,249.71455
146,250.34996
147,253.32304
148,250.46037
149,247.47105
150,236.33643
151,236.89673
152,234.39058
153,233.18373
154,241.23341
155,240.29471
156,239.04564
157,240.73137
158,238.78825
159,252.32582
160,248.25821
161,252.94878
162,253.41374
163,252.52655
164,251.39735
165,253.90784
166,248.42072
167,256.4118
168,259.90793
169,253.66133
170,244.5736
171,258.0686
172,256.5628
173,258.93317
174,254.54369
175,257.75922
176,250.52066
177,249.26517
178,255.35056
179,251.61449
180,245.51707
181,249.06038
182,248.33688
183,244.3688
184,252.10088
185,252.9515
186,250.46373
187,254.25304
188,259.9751
189,256.00586
190,258.53345
191,253.83247
192,253.92595
193,262.04407
194,261.19333
195,251.9181
196,244.48405
197,242.06853
198,237.62231
199,236.39073
200,234.0175
201,236.09634
202,237.63268
203,247.04832
204,244.59592
205,240.09616
206,243.69594
207,242.2812
208,247.60754
209,253.21321
210,261.4959
211,256.41946
212,256.35858
213,262.5999
214,257.4308
215,260.1233
216,252.85071
217,261.19916
218,269.50333
219,266.5804
220,261.1813
221,255.4422
222,255.32594
223,259.10837
224,263.7384
225,275.41452
226,272.26538
227,272.977
228,273.45462
229,268.1228
230,269.67847
231,286.0649
232,281.13446
233,277.53635
234,271.27478
235,272.02557
236,280.47147
237,283.43506
238,283.99472
239,281.9978
240,277.77097
241,276.2125
242,272.13068
243,270.27896
244,273.44113
245,274.86865
246,276.9
247,271.4734
248,265.21686
249,268.50458
250,266.33084
251,278.4409
252,280.72247
253,264.10446
254,262.81735
255,260.40088
256,261.6577
257,260.287
258,254.65384
259,261.50095
260,265.593
261,259.9527
262,264.42435
263,263.9561
264,266.82965
265,267.40854
266,272.43277
267,267.65662
268,273.77826
269,266.84003
270,266.96436
271,264.52072
272,256.3622
273,256.10623
274,260.79202
275,263.64737
276,265.48218
277,263.74252
278,257.43185
279,257.8017
280,258.30292
281,251.40556
282,250.24406
283,254.9934
284,249.22516
285,254.9958
286,255.16982
287,256.61972
288,253.35535
289,250.8471
290,253.12335
291,256.58734
292,259.23187
293,261.30447
294,260.5146
295,256.39987
296,259.9781
297,266.97504
298,258.54745
299,251.41026
300,257.05624
301,267.21494
302,265.6319
303,259.18503
304,255.65112
305,262.90247
306,260.64008
307,254.7879
308,260.02692
309,259.42935
310,256.67682
311,256.38544
312,259.58722
313,256.5415
314,256.40863
315,257.9921
316,256.86343
317,257.54825
318,253.86694
319,251.08554
320,253.00748
321,259.2058
322,259.64185
323,264.98944
324,262.9588
325,261.81543
326,258.08936
327,257.02097
328,246.01155
329,256.7965
330,257.71335
331,255.95123
332,254.00685
333,249.0394
334,244.68794
335,244.07886
336,244.85126
337,246.82356
338,246.8773
339,244.19048
340,241.0584
341,245.26172
342,256.69113
343,259.39578
344,260.46863
345,257.00208
346,256.49316
347,259.74823
348,262.96503
349,267.64917
350,261.82382
351,260.43643
352,254.61887
353,260.58118
354,261.06155
355,257.84518
356,264.624
357,262.3365
358,264.87006
359,251.83968
360,257.06555
361,260.34702
362,262.46878
363,263.70117
364,264.7976
365,260.5948
366,262.5222
367,255.49327
368,258.32104
369,263.77325
370,269.2748
371,274.8233
372,264.7068
373,259.1686
374,261.5237
375,269.46982
376,268.4009
377,269.2291
378,272.95053
379,267.96194
380,257.41095
381,246.27
382,255.21758
383,258.91498
384,259.81018
385,267.57516
386,266.33212
387,266.85217
388,268.49707
389,266.48883
390,261.29684
391,270.05795
392,279.46585
393,274.45297
394,268.21252
395,268.79
396,264.7704
397,268.4067
398,271.35608
399,269.33255
400,282.70337
401,269.29364
402,269.80994
403,268.16113
404,263.82483
405,256.39896
406,263.9146
407,256.94205
408,252.98534
409,257.93634
410,253.4175
411,256.69418
412,253.33017
413,247.05983
414,257.74466
415,251.3819
416,261.60657
417,259.69553
418,260.3111
419,262.2993
420,272.28943
421,269.06546
422,266.41492
423,272.80045
424,285.13754
425,279.42636
426,258.8546
427,252.36125
428,245.7581
429,241.05185
430,246.98485
431,243.86925
432,243.8146
433,249.2864
434,263.17706
435,258.74936
436,256.63004
437,257.91846
438,256.6561
439,248.9424
440,253.26161
441,256.36545
442,257.76093
443,248.6875
444,257.5865
445,265.89832
446,261.27002
447,262.24542
448,268.36313
449,258.69144
450,253.41826
451,260.87445
452,259.82092
453,261.35428
454,261.9428
455,269.91736
456,255.60806
457,248.18005
458,233.23589
459,230.23526
460,235.11992
461,243.97711
462,247.32968
463,243.29355
464,233.71466
465,239.09436
466,243.26855
467,242.36751
468,238.80453
469,242.67157
470,241.22878
471,231.4891
472,235.38664
473,244.61627
474,240.86543
475,249.31128
476,255.89279
477,252.12619
478,243.78435
479,236.01245
480,244.84274
481,245.08041
482,240.398
483,242.2915
484,235.76398
485,235.75603
486,237.8142
487,235.67659
488,241.10501
489,242.67761
490,246.24419
491,243.921
492,244.28065
493,245.72847
494,237.8596
495,240.27429
496,236.95772
497,241.03194
498,240.98666
499,240.94252
500,243.85945
501,245.04263
502,244.78786
503,243.94931
504,251.71115
505,239.05951
506,231.06407
507,236.52104
508,227.91533
509,241.98553
510,240.81602
511,247.42928
512,246.1956
513,239.04253
514,228.90033
515,232.57352
516,230.77667
517,233.65646
518,231.99706
519,229.9625
520,232.83789
521,234.54028
522,241.73311
523,233.69563
524,238.42288
525,250.4764
526,244.43501
527,240.45491
528,242.4515
529,244.91347
530,249.90445
531,242.574
532,254.46584
533,253.54767
534,245.63441
535,247.88083
536,250.29158
537,247.81131
538,252.19832
539,253.80855
540,252.42345
541,249.64624
542,249.6874
543,239.88316
544,242.69466
545,243.8688
546,243.54604
547,241.2317
548,248.67433
549,254.32503
550,249.49672
551,240.1698
552,246.78236
553,243.49097
554,245.44063
555,243.13754
556,239.99535
557,245.41074
558,245.98413
559,246.76773
560,243.25737
561,240.34044
562,241.49258
563,241.45569
564,250.08553
565,244.2888
566,241.4854
567,250.96667
568,243.99263
569,242.44402
570,248.78456
571,248.32104
572,246.17824
573,243.21106
574,247.46922
575,248.91983
576,243.57968
577,237.27017
578,227.18828
579,230.33078
580,235.92659
581,238.87965
582,231.48897
583,230.06514
584,235.1133
585,229.11963
586,236.39938
587,239.10486
588,243.15663
589,240.39017
590,241.92676
591,246.18906
592,250.69612
593,249.39548
594,248.16714
595,252.86794
596,249.63588
597,252.16423
598,252.4314
599,252.90604
600,254.61072
601,252.4583
602,250.25368
