Actual_ACCIDENT_COUNT,LSTM_ACCIDENT_COUNT,GRU_ACCIDENT_COUNT
328.00003,294.329,296.65787
328.00003,295.38885,299.8017
246.0,297.01578,301.97226
324.0,296.19397,293.72733
270.0,296.92453,300.102
244.0,296.39752,295.58276
336.0,294.57327,290.6446
323.0,295.21872,299.01865
305.0,296.37228,300.5727
243.0,297.30563,300.11826
216.0,296.128,292.8912
278.0,293.12332,286.0715
315.0,291.26883,289.0296
304.0,291.17465,293.29697
347.0,291.5484,293.77625
275.00003,293.67383,300.02707
247.99998,294.1046,294.7335
263.0,293.02444,290.0432
250.0,291.6793,289.19373
286.00003,289.76263,286.11142
299.00003,288.79086,288.2851
335.0,288.7204,290.10403
326.0,290.27634,295.50674
241.0,292.22134,297.56845
296.0,291.63992,289.26312
295.0,291.6977,292.80484
266.0,291.8767,293.47687
315.0,291.18698,290.34702
302.0,291.7681,294.98248
308.00003,292.44406,295.26917
290.0,293.35754,296.78616
286.00003,293.76932,295.67798
279.0,293.82272,295.06323
322.0,293.4806,293.88245
318.0,294.34,298.52097
287.0,295.60703,300.15488
294.0,296.0334,297.84323
232.0,296.2383,298.15753
280.0,294.39676,290.45032
231.0,293.18372,292.4203
259.0,290.549,285.83813
266.0,288.43958,285.51212
310.00003,286.7646,284.76477
270.0,286.72525,289.08426
236.99998,286.1544,285.89786
264.0,284.4034,280.7547
298.0,283.00494,281.14755
303.0,282.84442,284.5163
290.0,283.5133,286.51462
285.0,284.09067,286.41415
319.00003,284.50067,286.37436
249.0,285.92642,290.90344
306.00003,285.422,284.73682
306.00003,286.05453,289.5314
297.00003,287.00983,291.3256
191.0,287.89035,291.69827
233.0,285.274,279.26767
247.0,282.57523,278.31915
238.0,280.23068,277.34778
254.0,277.74408,274.43622
240.0,275.81427,274.03345
279.0,273.7488,271.15256
291.0,272.9884,273.95105
298.0,273.299,276.20538
280.0,274.24164,278.5164
255.0,274.9952,278.13406
269.0,274.86,275.63364
318.0,274.66254,276.36594
298.0,276.04034,282.4984
286.00003,277.4407,283.25708
305.0,278.5468,283.3237
253.0,280.09735,286.40866
234.0,280.0113,281.9172
282.0,278.59674,277.91925
302.0,278.14798,281.2188
261.0,278.67874,284.38004
335.0,278.44598,281.0542
373.0,280.32297,289.10492
278.0,284.24368,297.7678
241.0,285.9812,291.8811
277.00003,285.5465,286.50244
266.0,285.22733,288.1869
268.00003,284.47025,286.66287
290.0,283.64258,285.8583
311.0,283.5945,287.70862
267.0,284.4743,290.88956
181.0,284.37598,287.23566
189.0,281.13773,275.3123
213.0,276.76416,269.6961
221.0,272.69165,267.26187
203.0,269.07816,264.69446
299.00003,265.25067,259.5664
249.0,264.5659,267.39966
275.00003,263.69202,264.01392
206.00002,263.6974,266.31018
225.0,261.89777,258.9715
251.0,260.02856,257.86578
235.0,258.9119,259.31827
234.0,257.70822,257.4383
181.0,256.4268,256.2653
188.0,253.52411,248.83107
242.0,250.16,245.33481
252.0,248.35263,248.42026
216.0,247.55496,249.9167
280.0,246.22426,246.36313
299.00003,246.80438,252.5464
247.99998,248.75395,257.7431
193.0,249.68335,255.38974
217.00002,248.44478,248.95338
256.0,247.01022,248.6795
258.0,246.67012,252.13228
298.0,246.84404,253.61668
235.0,248.66435,259.63348
229.0,249.08582,255.65016
243.0,248.7788,254.1646
254.0,248.55353,254.9499
235.0,248.78961,256.36557
256.0,248.51888,254.76398
256.0,248.72574,256.68253
235.0,249.13676,257.49866
260.0,248.95486,255.64223
215.0,249.34412,257.96637
232.0,248.46326,253.49663
261.0,247.61752,253.49834
256.0,247.68562,256.3087
263.0,248.02434,256.87637
307.0,248.75726,258.4187
222.0,251.03445,264.91223
207.00002,251.1837,258.46414
255.0,250.01448,254.65254
258.0,249.73482,257.9012
236.99998,249.86438,258.99173
238.0,249.60802,257.1298
297.00003,249.23543,256.49695
261.0,250.62715,263.10837
209.0,251.61028,262.03674
264.0,250.85245,256.28537
259.0,250.98273,260.26047
264.0,251.26227,260.8367
262.0,251.9255,262.0702
276.0,252.67656,262.72647
252.0,253.84482,265.13812
241.0,254.42715,263.78018
186.00002,254.38857,262.30084
226.0,252.26433,254.78548
214.0,250.51935,255.3464
216.0,248.58511,252.57089
269.0,246.78084,250.66237
239.0,246.72261,255.22739
232.0,246.4718,253.31003
246.0,246.0049,252.01616
228.0,245.91925,252.97691
311.0,245.30675,251.0794
247.0,247.24637,260.25366
282.0,248.15143,257.11087
270.0,249.88206,261.34467
264.0,251.44179,262.32657
257.0,252.6931,263.02072
273.0,253.56694,263.12213
236.0,254.73459,265.51248
297.00003,254.84741,262.4205
292.0,256.41452,268.7308
245.0,258.3178,271.0884
213.0,258.88794,267.56567
317.00003,257.88345,262.65784
268.00003,259.39474,272.52615
284.0,260.34775,270.6764
252.0,261.72202,273.00034
282.0,262.22617,270.56055
233.0,263.24612,273.52783
247.99998,262.815,268.85574
287.0,262.27512,268.66318
247.99998,262.8546,272.64084
221.0,262.7452,269.57138
261.0,261.49417,265.17926
247.0,261.00943,267.42905
226.0,260.37308,265.92096
284.0,259.07776,262.50418
265.0,259.3568,267.4829
246.0,259.70047,267.03802
274.0,259.5478,265.08475
293.0,260.0459,267.70016
256.0,261.46265,271.1939
278.0,262.0404,268.91443
246.0,262.9506,271.26474
260.0,262.93323,268.55606
305.0,262.9557,269.2676
276.0,264.35825,274.83936
226.0,265.51508,274.2018
210.0,264.9535,268.73615
224.0,263.0571,264.22385
210.0,261.01706,262.65875
218.00002,258.49182,258.79797
209.0,256.07245,256.76364
234.0,253.41238,253.37738
236.99998,251.61057,253.68343
287.0,250.37598,253.18115
242.0,250.98471,258.6298
222.0,251.01863,255.89278
255.0,250.23277,253.02165
236.99998,250.1376,255.50392
273.0,249.71962,254.13817
287.0,250.38287,258.03644
312.0,251.94363,261.69824
258.0,254.75557,267.42273
269.0,256.2766,264.92093
302.0,257.60977,266.52393
257.0,259.80542,271.68173
285.0,260.80103,269.29575
236.99998,262.22803,272.5876
305.0,262.19946,268.4565
327.0,263.70493,275.22
284.0,266.51584,280.9764
261.0,268.4104,279.70917
244.0,269.27164,277.73688
262.0,268.98755,275.0695
287.0,268.7577,275.70758
