Actual_ACCIDENT_COUNT,LSTM_ACCIDENT_COUNT,GRU_ACCIDENT_COUNT
328.00003,289.16635,314.9773
328.00003,271.15546,289.17288
246.0,263.17694,278.33173
324.0,278.2418,287.6035
270.0,304.19852,297.83167
244.0,314.20844,289.09607
336.0,305.95944,283.1964
323.0,290.8286,326.64877
305.0,272.58765,292.41153
243.0,262.67963,271.38766
216.0,276.3536,284.6152
278.0,295.27423,269.55344
315.0,301.93924,277.1901
304.0,296.86258,292.9252
347.0,282.91064,315.01312
275.00003,267.51062,298.8116
247.99998,258.1022,265.6279
263.0,272.31943,286.0165
250.0,294.30392,282.9773
286.00003,301.35492,276.5969
299.00003,294.8306,286.46243
335.0,279.79047,311.7827
326.0,263.28647,291.44797
241.0,256.4,276.95316
296.0,271.89883,286.55362
295.0,296.59128,291.9135
266.0,307.83057,293.50912
315.0,302.25714,290.0329
302.0,287.99268,322.91336
308.00003,269.34735,286.30103
290.0,259.55853,270.75095
286.00003,276.0523,295.9856
279.0,300.87366,293.30786
322.0,311.09323,291.55585
318.0,307.61237,307.80737
287.0,294.0613,331.78693
294.0,274.13678,287.2129
232.0,261.9902,270.92136
280.0,273.3074,281.37402
231.0,294.3287,283.42972
259.0,299.4862,269.3174
266.0,290.21167,272.4149
310.00003,271.85114,291.7301
270.0,252.46411,271.25754
236.99998,241.31558,249.73705
264.0,254.09846,266.4828
298.0,275.4792,267.21344
303.0,285.94577,277.8781
290.0,283.5742,287.05865
285.0,271.32812,307.52066
319.00003,254.17863,275.6192
249.0,246.77107,272.31558
306.00003,262.1996,283.6272
306.00003,287.30557,290.84027
297.00003,299.77863,294.07376
191.0,297.16946,297.27118
233.0,277.96445,283.44376
247.0,253.03645,249.51645
238.0,236.89333,235.0586
254.0,246.69214,252.31287
240.0,265.9374,251.72792
279.0,272.46704,249.70874
291.0,267.35074,261.04718
298.0,254.927,291.953
280.0,239.57672,269.28522
255.0,231.84093,255.87344
269.0,247.16557,275.01645
318.0,269.90942,272.68253
298.0,282.23425,286.6352
286.00003,280.62,289.9829
305.0,268.49823,307.67056
253.0,252.4347,281.17606
234.0,241.8276,252.8256
282.0,254.09248,271.60535
302.0,275.70364,275.918
261.0,286.19284,283.27997
335.0,281.15292,275.56973
373.0,269.69354,317.08838
278.0,257.8432,303.7533
241.0,251.00133,267.19672
277.00003,265.85904,287.18924
266.0,288.48752,287.7765
268.00003,296.6322,282.25903
290.0,289.61072,281.85483
311.0,273.69925,305.83246
267.0,255.38289,278.69574
181.0,244.13974,254.51788
189.0,253.23029,257.01624
213.0,267.66348,244.3643
221.0,269.0719,243.033
203.0,257.52924,240.49965
299.00003,236.93277,247.9494
249.0,218.26851,244.99118
275.00003,208.72115,229.04335
206.00002,224.32451,243.32104
225.0,246.76587,254.28699
251.0,258.73938,253.84454
235.0,259.24246,247.34833
234.0,249.85216,260.79413
181.0,234.90262,240.14859
188.0,223.8893,200.93266
242.0,234.45914,222.50633
252.0,253.94762,230.42552
216.0,262.90118,237.563
280.0,257.01068,231.90862
299.00003,244.49739,259.30026
247.99998,230.4089,249.44041
193.0,223.17145,222.39848
217.00002,236.0279,241.75099
256.0,255.18681,244.03848
258.0,263.78314,250.95206
298.0,259.7549,255.83807
235.0,249.08598,283.03537
229.0,232.2151,248.9588
243.0,221.94012,217.72003
254.0,235.73097,245.14642
235.0,257.7288,251.60397
256.0,266.8555,251.37418
256.0,262.7892,256.40262
235.0,249.49869,272.73584
260.0,230.95206,241.50114
215.0,221.45758,218.5982
232.0,234.29245,237.49487
261.0,254.48535,241.56949
256.0,264.14194,249.167
263.0,260.80737,257.1693
307.0,248.44168,276.96198
222.0,234.3158,264.50555
207.00002,225.13774,224.43181
255.0,237.44748,245.06747
258.0,258.45065,251.51663
236.99998,268.19934,256.11365
238.0,263.46555,255.48875
297.00003,248.83397,269.40997
261.0,233.0144,255.63899
209.0,225.31729,227.286
264.0,238.9703,245.1696
259.0,261.43533,254.39568
264.0,272.04538,258.6911
262.0,269.08817,264.69067
276.0,256.42288,282.7558
252.0,240.02522,259.96075
241.0,230.88222,229.2767
186.00002,245.30661,254.71869
226.0,263.7484,246.52097
214.0,269.7346,246.4135
216.0,261.2738,241.47649
269.0,243.40314,250.61343
239.0,224.65675,233.4785
232.0,214.67796,207.94469
246.0,228.56737,230.60248
228.0,250.52585,236.64539
311.0,259.80728,239.29659
247.0,259.70798,266.42657
282.0,248.69136,280.81427
270.0,234.0852,266.19373
264.0,227.2842,243.45203
257.0,244.35849,268.61664
273.0,268.4071,269.66013
236.0,280.28906,274.65353
297.00003,275.88855,272.9624
292.0,263.71667,301.5287
245.0,247.98479,276.13934
213.0,238.36209,239.73749
317.00003,250.84482,255.53496
268.00003,275.54718,270.7536
284.0,287.33572,271.97134
252.0,285.2043,282.14386
282.0,271.25937,295.73364
233.0,253.26344,273.06345
247.99998,241.17853,234.54683
287.0,254.19629,258.3678
247.99998,277.62753,266.04303
221.0,287.35977,264.19223
261.0,280.37338,259.60403
247.0,264.34702,281.08032
226.0,243.85081,250.23701
284.0,230.65901,218.52942
265.0,245.36673,249.34068
246.0,268.88364,252.80804
274.0,279.12845,254.3558
293.0,276.09644,265.53076
256.0,264.67682,293.12515
278.0,247.41537,263.89474
246.0,238.82326,247.4373
260.0,253.76172,265.80188
305.0,276.53543,266.02414
276.0,288.90497,278.04254
226.0,286.4538,284.3685
210.0,270.70145,290.6009
224.0,247.68388,248.8598
210.0,232.40213,218.86356
218.00002,241.60559,230.04698
209.0,259.08478,225.96875
234.0,264.08698,224.24052
236.99998,256.84055,229.10616
287.0,241.51442,248.44864
242.0,225.68248,242.22864
222.0,217.7443,221.23242
