CRASH DATE,Actual,Predicted
2022-09-18,295,264.8339821408805
2022-09-19,294,287.49723568213795
2022-09-20,288,305.46603414923646
2022-09-21,335,291.78321365384886
2022-09-22,279,322.6073327148048
2022-09-23,322,328.2859175467932
2022-09-24,287,284.93398268982355
2022-09-25,284,269.58338606017816
2022-09-26,260,291.1250236719715
2022-09-27,228,280.12250505797743
2022-09-28,284,243.55710794944153
2022-09-29,315,266.62378791402625
2022-09-30,328,329.1589905785431
2022-10-01,328,303.06206989071336
2022-10-02,246,297.0557905826786
2022-10-03,324,283.8170300856587
2022-10-04,270,301.5765093305395
2022-10-05,244,295.6380658105485
2022-10-06,336,261.00617759883465
2022-10-07,323,325.61771685970785
2022-10-08,305,309.3013633613305
2022-10-09,243,279.7307346591485
2022-10-10,216,274.0457510481826
2022-10-11,278,234.6741698560685
2022-10-12,315,255.50522284152078
2022-10-13,304,309.0793757385723
2022-10-14,347,334.7880709212352
2022-10-15,275,310.7463587604294
2022-10-16,248,270.2908156420809
2022-10-17,263,263.1862727732998
2022-10-18,250,266.1749952810301
2022-10-19,286,259.43334270066754
2022-10-20,299,280.3058759006168
2022-10-21,335,320.50072291638725
2022-10-22,326,300.4685851373115
2022-10-23,241,295.3922751191759
2022-10-24,296,279.42836479132217
2022-10-25,295,282.6147763442092
2022-10-26,266,300.4451981441574
2022-10-27,315,286.9373930801861
2022-10-28,302,322.472817838389
2022-10-29,308,287.94912002835247
2022-10-30,290,269.737009909893
2022-10-31,286,302.0747666619531
2022-11-01,279,296.64339248318055
2022-11-02,322,285.76499274215064
2022-11-03,318,314.92963421798464
2022-11-04,287,346.03586568333816
2022-11-05,294,280.8271206366611
2022-11-06,232,256.0325253191654
2022-11-07,280,261.205738393872
2022-11-08,231,269.2260239056404
2022-11-09,259,255.73136802171155
2022-11-10,266,258.02218889573686
2022-11-11,310,287.7329336594363
2022-11-12,270,274.19980018601217
2022-11-13,237,250.1876648852687
2022-11-14,264,255.15804416953074
2022-11-15,298,260.4359520669465
2022-11-16,303,289.5451616285538
2022-11-17,290,311.4757272206424
2022-11-18,285,320.4053821873595
2022-11-19,319,268.7472324022841
2022-11-20,249,269.16722853973704
2022-11-21,306,282.2613436420167
2022-11-22,306,291.56912753090546
2022-11-23,297,311.58939325899263
2022-11-24,191,310.39921703761763
2022-11-25,233,257.54317735311156
2022-11-26,247,199.50562876316633
2022-11-27,238,204.61919527465193
2022-11-28,254,247.5361229701515
2022-11-29,240,256.4448965266648
2022-11-30,279,250.73679308955448
2022-12-01,291,269.4024266419349
2022-12-02,298,309.42053562792677
2022-12-03,280,280.05350776390355
2022-12-04,255,251.558115139328
2022-12-05,269,271.1431885574118
2022-12-06,318,271.71704681027455
2022-12-07,298,304.35126501138
2022-12-08,286,312.72372115058334
2022-12-09,305,313.64568540881237
2022-12-10,253,282.26687350186205
2022-12-11,234,238.36080887920173
2022-12-12,282,247.659698362736
2022-12-13,302,272.51716069397526
2022-12-14,261,299.76992594037387
2022-12-15,335,283.2964276041106
2022-12-16,373,327.8529326674584
2022-12-17,278,341.75997899359015
2022-12-18,241,280.52783292941274
2022-12-19,277,262.9401847036502
2022-12-20,266,273.2334826434692
2022-12-21,268,274.97712728717386
2022-12-22,290,274.66175947955225
2022-12-23,311,305.07503221998206
2022-12-24,267,284.6105163565886
2022-12-25,181,247.90525921441034
2022-12-26,189,223.01432555798482
2022-12-27,213,196.21541423882348
2022-12-28,221,207.71742002094686
2022-12-29,203,225.72256292185463
2022-12-30,299,234.25674416907023
2022-12-31,249,242.01947951440744
2023-01-01,275,230.28324260612345
2023-01-02,206,271.03020022893736
2023-01-03,225,244.5957653604554
2023-01-04,251,222.12995313449468
2023-01-05,235,247.78088025013483
2023-01-06,234,267.43723922958054
2023-01-07,181,216.16308292085748
2023-01-08,188,164.95236229650808
2023-01-09,242,189.60357219443654
2023-01-10,252,230.64602117503694
2023-01-11,216,253.63302836328955
2023-01-12,280,237.227979719679
2023-01-13,299,279.26940735383374
2023-01-14,248,272.0763274022336
2023-01-15,193,231.93652239067978
2023-01-16,217,221.09368633626576
2023-01-17,256,218.32445650646932
2023-01-18,258,244.8185629051751
2023-01-19,298,265.31716763204054
2023-01-20,235,307.46568578764425
2023-01-21,229,240.23583627941295
2023-01-22,243,193.73985010747867
2023-01-23,254,243.28899217027433
2023-01-24,235,261.69584924373584
2023-01-25,256,247.47850009551425
2023-01-26,256,256.7067405046102
2023-01-27,235,279.1932789214528
2023-01-28,260,223.07935062323043
2023-01-29,215,213.91654848509955
2023-01-30,232,239.2701010653087
2023-01-31,261,236.4340964641529
2023-02-01,256,254.49047226420873
2023-02-02,263,267.093550532674
2023-02-03,307,281.96398719909695
2023-02-04,222,270.20725599424804
2023-02-05,207,220.11899620482095
2023-02-06,255,219.00311195810303
2023-02-07,258,247.7528675515153
2023-02-08,237,261.9536111605111
2023-02-09,238,254.36494158159226
2023-02-10,297,260.1144636475971
2023-02-11,261,252.71899419203018
2023-02-12,209,239.12485082554485
2023-02-13,264,236.95369305590506
2023-02-14,259,254.24556419524708
2023-02-15,264,265.3719298247965
2023-02-16,262,270.41262229583015
2023-02-17,276,286.43129955050193
2023-02-18,252,250.05719622156172
2023-02-19,241,224.4349781557645
2023-02-20,186,253.34771516364808
2023-02-21,226,220.47805333355558
2023-02-22,214,214.27826932026596
2023-02-23,216,226.95108910084377
2023-02-24,269,238.45986514932454
2023-02-25,239,227.51621892377045
2023-02-26,232,214.42389458840657
2023-02-27,246,240.62398826984276
2023-02-28,228,252.96285389569368
2023-03-01,311,239.51756138138842
2023-03-02,247,285.5033780868559
2023-03-03,282,296.83731865578557
2023-03-04,270,248.1280230594885
2023-03-05,264,238.82041600227976
2023-03-06,257,272.3809446399154
2023-03-07,273,271.5803325315203
2023-03-08,236,273.1127344311217
2023-03-09,297,257.40067424430356
2023-03-10,292,296.21124135850215
2023-03-11,245,274.88505194473726
2023-03-12,213,228.70439423929093
2023-03-13,317,231.3144111823859
2023-03-14,268,287.0977634775547
2023-03-15,284,293.0030305412521
2023-03-16,252,285.3766823685411
2023-03-17,282,288.32715693879317
2023-03-18,233,249.95051902247704
2023-03-19,248,217.07681582726264
2023-03-20,287,250.13919435352366
2023-03-21,248,282.54215851589186
2023-03-22,221,268.70253673458683
2023-03-23,261,238.5605167911893
2023-03-24,247,268.21915531582823
2023-03-25,226,232.09770716344767
2023-03-26,284,199.87931211041925
2023-03-27,265,270.0363634911959
2023-03-28,246,282.6979798725702
2023-03-29,274,257.182827725303
2023-03-30,293,270.1977183968869
2023-03-31,256,307.9349808011078
2023-04-01,278,250.1650175336863
2023-04-02,246,237.32913872046902
2023-04-03,260,267.9488018443755
2023-04-04,305,263.30114548088267
2023-04-05,276,291.0411524313569
2023-04-06,226,295.7523417848812
2023-04-07,210,266.937526662244
2023-04-08,224,196.6515370426083
2023-04-09,210,186.86376231559868
2023-04-10,218,224.46701746641423
2023-04-11,209,224.99520589156398
2023-04-12,234,216.21537994266694
2023-04-13,237,229.9051974804278
2023-04-14,287,254.86969167598366
2023-04-15,242,248.0781479654301
2023-04-16,222,229.29900330240577
2023-04-17,255,238.655022462536
2023-04-18,237,251.45320143233366
2023-04-19,273,248.37381072666832
2023-04-20,287,264.7061258278339
2023-04-21,312,301.4304532438795
2023-04-22,258,282.94510846670505
2023-04-23,269,248.73326421706474
2023-04-24,302,273.72130474489904
2023-04-25,257,297.9842716675367
2023-04-26,285,279.96245837879866
2023-04-27,237,280.60016371038324
2023-04-28,305,276.58522812077916
2023-04-29,327,257.95723024943214
2023-04-30,284,287.9483977497095
2023-05-01,261,311.2413114027903
2023-05-02,244,278.14017171236407
2023-05-03,262,255.88454078500848
2023-05-04,287,260.23438682390963
2023-05-05,301,298.16819320333826
2023-05-06,346,277.8026090913059
2023-05-07,292,297.6558799283438
2023-05-08,300,322.0632603990518
2023-05-09,298,303.6290250966046
2023-05-10,267,304.05252189667914
2023-05-11,289,285.70873927793167
2023-05-12,370,301.4224772544987
2023-05-13,298,322.1018008376254
2023-05-14,290,296.44419968904384
2023-05-15,265,300.91452928057595
2023-05-16,286,281.67263281978444
2023-05-17,330,281.6626435473019
2023-05-18,320,318.7288101112353
2023-05-19,313,347.36034021020686
2023-05-20,300,299.6594520359523
2023-05-21,284,274.63949296672547
2023-05-22,286,296.9856267480254
2023-05-23,270,291.97043493962053
2023-05-24,274,282.0024554549032
2023-05-25,296,278.79571137906703
2023-05-26,296,309.41430384749543
2023-05-27,300,279.8916952566913
2023-05-28,267,268.16949646811
2023-05-29,250,286.4468721143111
2023-05-30,286,262.88974354764446
2023-05-31,266,276.8926127705289
2023-06-01,335,280.9454690680167
2023-06-02,312,329.1108428911314
2023-06-03,216,305.77075163329266
2023-06-04,256,224.28169209425928
2023-06-05,253,245.02634642208864
2023-06-06,268,260.98835360908265
2023-06-07,259,266.9627771858744
2023-06-08,233,271.21309552914096
2023-06-09,287,264.6286168183125
2023-06-10,291,247.1169121334331
2023-06-11,251,260.23068890636995
2023-06-12,289,272.3434417249189
2023-06-13,274,280.7564434971043
2023-06-14,289,284.7337930210113
2023-06-15,284,290.3800897952852
2023-06-16,310,307.8708995316409
2023-06-17,270,282.74792399600244
2023-06-18,315,256.6353056014537
2023-06-19,261,302.77357746179337
2023-06-20,280,289.42103956749315
2023-06-21,268,277.2263584714178
2023-06-22,231,279.9934864742792
2023-06-23,255,267.72980796182105
2023-06-24,285,228.18069932698796
2023-06-25,288,245.44486599160695
2023-06-26,289,291.297342316596
2023-06-27,272,295.0618916844358
2023-06-28,241,283.36384155340414
2023-06-29,263,259.0670576777396
2023-06-30,266,275.6368541331022
2023-07-01,230,249.40771130594112
2023-07-02,245,218.2870433466812
2023-07-03,274,243.4061217081198
2023-07-04,229,268.1025906952762
2023-07-05,278,250.25796216620122
2023-07-06,263,264.1035291506
2023-07-07,269,290.1333423289575
2023-07-08,245,250.62492360095666
2023-07-09,242,229.35669692742005
2023-07-10,264,248.57229715773323
2023-07-11,276,259.6765025425023
2023-07-12,281,275.2652292998271
2023-07-13,283,284.7010913072024
2023-07-14,272,302.619198505198
2023-07-15,251,260.29330265540386
2023-07-16,284,234.59346484340392
2023-07-17,311,276.61083115060285
2023-07-18,246,305.17427155811356
2023-07-19,228,276.31117173877345
2023-07-20,283,240.8599295103703
2023-07-21,323,280.3751671835431
2023-07-22,282,290.58209158124055
2023-07-23,249,275.20109223825466
2023-07-24,249,269.1391741846402
2023-07-25,301,252.14097354772562
2023-07-26,269,282.8809437248044
2023-07-27,242,288.7811844282972
2023-07-28,287,273.5525589568429
2023-07-29,270,252.33764402465295
2023-07-30,256,252.7995128929839
2023-07-31,261,267.8791093061428
