CRASH DATE,Actual,Predicted
2022-09-18,295,260.561823722529
2022-09-19,294,283.4373943700633
2022-09-20,288,322.6568519761588
2022-09-21,335,283.65961586340165
2022-09-22,279,322.74324274643254
2022-09-23,322,327.55274797343213
2022-09-24,287,269.49522674858713
2022-09-25,284,271.1615563956525
2022-09-26,260,290.3927065129806
2022-09-27,228,309.48740230306754
2022-09-28,284,272.55651843439733
2022-09-29,315,284.83482898663067
2022-09-30,328,345.3384820820139
2022-10-01,328,273.001870671238
2022-10-02,246,293.06889691088475
2022-10-03,324,285.10849706102226
2022-10-04,270,285.25414271938905
2022-10-05,244,308.67438743386293
2022-10-06,336,292.3760187643112
2022-10-07,323,334.0564236532791
2022-10-08,305,293.58611250255575
2022-10-09,243,275.1477930865472
2022-10-10,216,288.52077458251404
2022-10-11,278,237.41106008123424
2022-10-12,315,280.5244459057007
2022-10-13,304,320.7330224213383
2022-10-14,347,325.5791388721528
2022-10-15,275,310.64771956053585
2022-10-16,248,251.5037694719682
2022-10-17,263,254.01750770844933
2022-10-18,250,257.79602238984944
2022-10-19,286,282.26805293255035
2022-10-20,299,315.63231272406847
2022-10-21,335,328.57245483829934
2022-10-22,326,298.80684657025756
2022-10-23,241,252.6105780903956
2022-10-24,296,271.9239754342057
2022-10-25,295,270.72497299086154
2022-10-26,266,290.93185102234554
2022-10-27,315,312.1799415209298
2022-10-28,302,332.5018247940775
2022-10-29,308,294.90560453397455
2022-10-30,290,240.06806330135853
2022-10-31,286,272.8773798371152
2022-11-01,279,291.34439718952405
2022-11-02,322,292.83966950502315
2022-11-03,318,317.41568255431434
2022-11-04,287,334.33605793634854
2022-11-05,294,291.76409085758297
2022-11-06,232,255.47445370799775
2022-11-07,280,271.4950553106646
2022-11-08,231,269.30320196588883
2022-11-09,259,281.57049077433004
2022-11-10,266,295.1631434810754
2022-11-11,310,290.2257122553955
2022-11-12,270,304.1477673476767
2022-11-13,237,239.92088201063916
2022-11-14,264,278.30679218513
2022-11-15,298,257.20322490935746
2022-11-16,303,284.96305047396106
2022-11-17,290,307.8566615908421
2022-11-18,285,301.4793385716493
2022-11-19,319,283.83261984914947
2022-11-20,249,260.258105693221
2022-11-21,306,277.8199179005865
2022-11-22,306,280.4163455706799
2022-11-23,297,310.066357115498
2022-11-24,191,296.2704841926949
2022-11-25,233,261.88314318384664
2022-11-26,247,266.4092737660853
2022-11-27,238,217.31146331721524
2022-11-28,254,278.2685286299188
2022-11-29,240,267.890927842034
2022-11-30,279,269.9368933160175
2022-12-01,291,238.54279771003908
2022-12-02,298,287.35813414486876
2022-12-03,280,287.9065355981076
2022-12-04,255,245.5396835789984
2022-12-05,269,276.9697965111292
2022-12-06,318,279.3851620205779
2022-12-07,298,303.9811482619654
2022-12-08,286,269.38237373413074
2022-12-09,305,282.98539981961966
2022-12-10,253,295.716589911412
2022-12-11,234,242.59740305303927
2022-12-12,282,269.5848981897984
2022-12-13,302,291.9710595916001
2022-12-14,261,295.77719937957374
2022-12-15,335,246.17344523320693
2022-12-16,373,297.80911322646585
2022-12-17,278,295.6740870718985
2022-12-18,241,258.1338792037812
2022-12-19,277,270.8771792254474
2022-12-20,266,287.2444014837816
2022-12-21,268,272.48094201221073
2022-12-22,290,300.47120978742583
2022-12-23,311,321.8769371592905
2022-12-24,267,264.05151283239525
2022-12-25,181,239.7320817382319
2022-12-26,189,255.9239292003076
2022-12-27,213,260.03473892743085
2022-12-28,221,241.4742352791111
2022-12-29,203,274.28063236442296
2022-12-30,299,289.79043142610806
2022-12-31,249,244.72278832235764
2023-01-01,275,187.9255666336481
2023-01-02,206,246.51073784100595
2023-01-03,225,241.99059047941995
2023-01-04,251,221.351757805495
2023-01-05,235,257.427882060242
2023-01-06,234,305.3270845422332
2023-01-07,181,219.99169451082082
2023-01-08,188,197.12356612610253
2023-01-09,242,194.39746338273036
2023-01-10,252,226.98406760225788
2023-01-11,216,247.72920612234708
2023-01-12,280,229.86399504987278
2023-01-13,299,277.07754769050666
2023-01-14,248,231.97945062615014
2023-01-15,193,215.2295353847652
2023-01-16,217,207.4107859126136
2023-01-17,256,225.57396159698712
2023-01-18,258,230.52906569737257
2023-01-19,298,248.68706720711563
2023-01-20,235,297.04933167427356
2023-01-21,229,218.72552513375416
2023-01-22,243,215.9998381800482
2023-01-23,254,226.9574816344392
2023-01-24,235,256.3798301248492
2023-01-25,256,244.7632158855863
2023-01-26,256,273.15328010269
2023-01-27,235,248.53875530310034
2023-01-28,260,210.1393017803281
2023-01-29,215,220.0326169100687
2023-01-30,232,245.5308928215407
2023-01-31,261,244.27204416324312
2023-02-01,256,247.19607365904182
2023-02-02,263,282.0057903321957
2023-02-03,307,255.1802503772797
2023-02-04,222,260.8812267778135
2023-02-05,207,214.1234662123459
2023-02-06,255,227.8063457026541
2023-02-07,258,258.010426205951
2023-02-08,237,260.80360262683945
2023-02-09,238,267.91932687713535
2023-02-10,297,249.71832042607065
2023-02-11,261,240.76323842890005
2023-02-12,209,233.42794953946773
2023-02-13,264,247.77870150594802
2023-02-14,259,254.0033559949891
2023-02-15,264,252.5429664682484
2023-02-16,262,256.1825720763193
2023-02-17,276,283.23446602278295
2023-02-18,252,250.23697724658936
2023-02-19,241,210.54030255285758
2023-02-20,186,259.4721216569743
2023-02-21,226,243.83165351761124
2023-02-22,214,235.28575077578597
2023-02-23,216,239.2552452055571
2023-02-24,269,275.2620746157696
2023-02-25,239,231.80889525204992
2023-02-26,232,215.49238919840477
2023-02-27,246,233.2675392673824
2023-02-28,228,251.17263541157538
2023-03-01,311,233.2175637116165
2023-03-02,247,256.7688369937305
2023-03-03,282,293.20735284775435
2023-03-04,270,252.23806448501017
2023-03-05,264,232.96908709342046
2023-03-06,257,249.45750185857784
2023-03-07,273,249.28684593834853
2023-03-08,236,280.72979508922793
2023-03-09,297,238.3025090356594
2023-03-10,292,288.1739842857205
2023-03-11,245,266.3551274523966
2023-03-12,213,246.16490695437432
2023-03-13,317,218.2516912311968
2023-03-14,268,266.0439544135621
2023-03-15,284,266.1385871608178
2023-03-16,252,268.2186607934349
2023-03-17,282,284.31481708967135
2023-03-18,233,249.34482478071055
2023-03-19,248,228.4390071356986
2023-03-20,287,278.0481023822973
2023-03-21,248,260.3388319649749
2023-03-22,221,278.2841011839437
2023-03-23,261,243.68789324351042
2023-03-24,247,276.49679218980924
2023-03-25,226,237.08611609640772
2023-03-26,284,231.89718076644257
2023-03-27,265,293.35884124647254
2023-03-28,246,260.46523146931133
2023-03-29,274,235.72405656337565
2023-03-30,293,277.29628471204694
2023-03-31,256,281.67823979903466
2023-04-01,278,233.51616636688803
2023-04-02,246,261.17863088914595
2023-04-03,260,293.50754632355495
2023-04-04,305,245.55311872267004
2023-04-05,276,274.7219561647613
2023-04-06,226,280.55096975841275
2023-04-07,210,251.4749793234738
2023-04-08,224,227.1909188841004
2023-04-09,210,243.59351848493606
2023-04-10,218,253.84427203485455
2023-04-11,209,247.969693523591
2023-04-12,234,232.45740852407286
2023-04-13,237,242.5178487161951
2023-04-14,287,226.8854968180572
2023-04-15,242,251.88406316920987
2023-04-16,222,251.94342007322803
2023-04-17,255,238.8372807737424
2023-04-18,237,247.74443904569185
2023-04-19,273,256.8480759229971
2023-04-20,287,255.58733201193596
2023-04-21,312,266.4585237709158
2023-04-22,258,269.3429062991318
2023-04-23,269,235.64622701447004
2023-04-24,302,259.3188564007195
2023-04-25,257,273.4429316328958
2023-04-26,285,270.67585561003267
2023-04-27,237,258.5831085312362
2023-04-28,305,267.6010758914196
2023-04-29,327,249.72982823138466
2023-04-30,284,264.45816876038674
2023-05-01,261,285.8391271756831
2023-05-02,244,241.7150759463475
2023-05-03,262,267.3494867367935
2023-05-04,287,251.6418546260935
2023-05-05,301,311.5743191005393
2023-05-06,346,283.7063894092965
2023-05-07,292,278.8159327952333
2023-05-08,300,287.9851418725836
2023-05-09,298,257.9698008029833
2023-05-10,267,291.33278781950696
2023-05-11,289,278.20661864958265
2023-05-12,370,309.97792912791925
2023-05-13,298,331.4032023660952
2023-05-14,290,286.06093589102346
2023-05-15,265,290.42774049976913
2023-05-16,286,262.44177727323586
2023-05-17,330,273.5799781383564
2023-05-18,320,289.57730272522866
2023-05-19,313,350.0870275677556
2023-05-20,300,322.3713824896995
2023-05-21,284,280.1834799183647
2023-05-22,286,268.601346775091
2023-05-23,270,277.48281632032194
2023-05-24,274,288.88129755306335
2023-05-25,296,294.5113686648449
2023-05-26,296,320.9728170233302
2023-05-27,300,305.81229598715186
2023-05-28,267,279.9182931447558
2023-05-29,250,276.3470338288378
2023-05-30,286,270.5825533904587
2023-05-31,266,282.80753333624745
2023-06-01,335,295.4472424162477
2023-06-02,312,334.47133126838173
2023-06-03,216,299.84893165393885
2023-06-04,256,253.82146249044888
2023-06-05,253,248.48936647155807
2023-06-06,268,275.64105480194695
2023-06-07,259,285.17292704640727
2023-06-08,233,308.07257388704323
2023-06-09,287,278.79363826598365
2023-06-10,291,251.42865058079173
2023-06-11,251,272.9242597862136
2023-06-12,289,261.1453584745848
2023-06-13,274,279.04657445340933
2023-06-14,289,269.3143992146194
2023-06-15,284,289.074477143859
2023-06-16,310,299.83601580047406
2023-06-17,270,277.20166630643047
2023-06-18,315,258.20603994867724
2023-06-19,261,281.8597382629746
2023-06-20,280,281.7856194351296
2023-06-21,268,273.089919420297
2023-06-22,231,285.6643907225947
2023-06-23,255,286.50454333637833
2023-06-24,285,235.2883673271244
2023-06-25,288,278.7246287499862
2023-06-26,289,271.94406393440477
2023-06-27,272,281.7453126105893
2023-06-28,241,272.24813647481665
2023-06-29,263,236.69307957941186
2023-06-30,266,281.8780789976866
2023-07-01,230,281.6581897260788
2023-07-02,245,265.95533750241447
2023-07-03,274,264.2036949669253
2023-07-04,229,268.5930549396498
2023-07-05,278,250.94801753855793
2023-07-06,263,260.1058423851348
2023-07-07,269,280.5501189667712
2023-07-08,245,256.1502090349724
2023-07-09,242,275.6396416860169
2023-07-10,264,260.5606269457447
2023-07-11,276,250.81765674149761
2023-07-12,281,268.4154557497067
2023-07-13,283,259.0527475323384
2023-07-14,272,274.51806310453287
2023-07-15,251,260.45105655982377
2023-07-16,284,258.29786003595365
2023-07-17,311,282.1165078329036
2023-07-18,246,275.0051335868297
2023-07-19,228,265.89126875633593
2023-07-20,283,257.1660285575866
2023-07-21,323,267.848423923683
2023-07-22,282,258.6470030712988
2023-07-23,249,276.6376754162924
2023-07-24,249,286.6405871479765
2023-07-25,301,235.91922234785733
2023-07-26,269,270.24743664497123
2023-07-27,242,284.633283032024
2023-07-28,287,280.90450960172524
2023-07-29,270,255.03398186685646
2023-07-30,256,257.9517498779733
2023-07-31,261,271.68713181629647
2023-08-01,280,275.385048576515
2023-08-02,255,262.0378149994283
2023-08-03,261,266.116542203109
2023-08-04,272,289.48222785083766
2023-08-05,261,260.6161628714871
2023-08-06,268,260.02002133084886
2023-08-07,245,275.86091538835507
2023-08-08,240,265.5935311332087
2023-08-09,261,235.87616336045735
2023-08-10,291,262.5828120254911
2023-08-11,275,303.20185483524824
2023-08-12,301,268.5850213067378
2023-08-13,273,264.8607857490756
2023-08-14,270,258.8465411900948
2023-08-15,254,278.9756666590698
2023-08-16,261,258.83829701807394
2023-08-17,202,263.168995766099
2023-08-18,296,259.110124455646
2023-08-19,273,276.5580744348818
2023-08-20,261,265.8113500498715
2023-08-21,254,257.5989026986278
2023-08-22,231,255.87592496561842
2023-08-23,222,249.27247183135697
2023-08-24,236,231.88941997646617
2023-08-25,244,273.72183947573933
2023-08-26,253,263.4927963742758
2023-08-27,249,254.54868306697827
2023-08-28,233,246.62285242586896
2023-08-29,223,231.08645515386377
2023-08-30,258,237.67396919516833
2023-08-31,311,246.2838977760504
2023-09-01,289,290.7729292346104
2023-09-02,283,289.42303541077655
2023-09-03,259,265.72809637081923
2023-09-04,265,252.40364025036706
2023-09-05,285,240.03815915528932
2023-09-06,292,265.6223133864854
2023-09-07,306,271.89334248720206
2023-09-08,260,299.5877425141882
2023-09-09,269,272.09555265089136
2023-09-10,242,253.98694543795656
2023-09-11,294,247.77178503462852
2023-09-12,280,259.8466195967784
2023-09-13,260,272.68092277787486
2023-09-14,305,287.49598527237725
2023-09-15,273,268.6008837804692
2023-09-16,289,272.78604657527023
2023-09-17,213,256.4964035571891
2023-09-18,280,256.8373395745658
2023-09-19,285,261.59128498385587
2023-09-20,286,276.5296338180267
2023-09-21,284,315.1811707072584
2023-09-22,284,269.39484928086483
2023-09-23,257,280.6332891031932
2023-09-24,279,230.11917354818286
2023-09-25,236,287.59035990089603
2023-09-26,272,275.5974662162058
2023-09-27,294,271.7344431945264
2023-09-28,306,299.20600458973234
2023-09-29,318,276.2867350140744
2023-09-30,248,283.7291472477893
2023-10-01,245,248.3151632359121
2023-10-02,276,265.11307954251754
2023-10-03,313,280.7346306491038
2023-10-04,284,291.7312494405359
2023-10-05,290,305.3894283544158
2023-10-06,307,291.2764618959238
2023-10-07,270,267.9119180546036
2023-10-08,225,246.4305254144204
2023-10-09,195,261.59872544240636
2023-10-10,282,268.9290525551853
2023-10-11,281,275.8765781266704
2023-10-12,274,289.2736325285575
2023-10-13,311,295.9960278692587
2023-10-14,282,259.9119273153986
2023-10-15,285,256.32500527360145
2023-10-16,292,244.40001761093671
2023-10-17,273,309.0681106419717
2023-10-18,252,289.26740756418513
2023-10-19,315,277.3797580641507
2023-10-20,340,315.46397772072135
2023-10-21,285,278.0515243605516
2023-10-22,263,262.5800056681285
2023-10-23,283,263.77764333036765
2023-10-24,262,296.48730696459864
2023-10-25,292,265.220299673085
2023-10-26,299,297.4600942723274
2023-10-27,280,323.81323051466217
2023-10-28,355,266.96430785501997
2023-10-29,248,272.8788743643653
2023-10-30,283,261.54756243032523
2023-10-31,274,278.54700308042516
2023-11-01,257,282.378274658879
2023-11-02,232,289.80346115184653
2023-11-03,296,286.696779313142
2023-11-04,239,300.2183152557738
2023-11-05,238,242.85197056808687
2023-11-06,278,269.9585818714545
2023-11-07,238,265.16025172355273
2023-11-08,267,254.19228631093588
2023-11-09,242,275.6147909572599
2023-11-10,217,296.1310033397929
2023-11-11,297,255.8969951120697
2023-11-12,233,241.52425669643247
2023-11-13,306,277.55539610930975
2023-11-14,266,261.53051986439914
2023-11-15,273,278.29959584558867
2023-11-16,281,259.76063176938476
2023-11-17,327,266.685293548301
2023-11-18,282,323.00044805545997
2023-11-19,276,241.78179845669237
2023-11-20,316,298.5927288052138
2023-11-21,360,272.76150499656126
2023-11-22,295,297.2554937799964
2023-11-23,197,273.3624777552173
2023-11-24,222,272.4356920270551
2023-11-25,211,245.1053758809357
2023-11-26,209,225.0133778251176
2023-11-27,265,279.908874151242
2023-11-28,229,276.1700159725316
2023-11-29,239,255.86371248591482
2023-11-30,271,215.45315937952807
2023-12-01,330,255.85140107686382
2023-12-02,261,288.7765577631301
2023-12-03,260,246.1637787946529
2023-12-04,271,300.80962033017414
2023-12-05,260,274.6296202407222
2023-12-06,222,258.6064336247732
2023-12-07,269,239.35192040226426
2023-12-08,276,298.0447689787491
2023-12-09,273,249.36514190427795
2023-12-10,216,254.12510568286385
2023-12-11,295,276.6428230365126
2023-12-12,313,284.5425531189348
2023-12-13,264,261.01214288323644
2023-12-14,279,251.74144124959923
2023-12-15,309,283.4107273491721
2023-12-16,239,263.0321311984768
2023-12-17,239,227.1442978926583
2023-12-18,297,280.6210190745751
2023-12-19,271,276.49309298478136
2023-12-20,283,246.32977229182399
2023-12-21,284,284.9605727781361
2023-12-22,323,314.1352334863543
2023-12-23,218,261.21151241581333
2023-12-24,216,230.0713588866947
2023-12-25,155,275.3199006172418
2023-12-26,188,236.3081502419694
2023-12-27,234,213.44817456354664
2023-12-28,272,259.14582820402495
2023-12-29,263,298.0083134037033
2023-12-30,228,229.616524148192
2023-12-31,186,212.5420992441758
2024-01-01,247,210.01129349313027
2024-01-02,257,236.71232499535796
2024-01-03,239,247.54461507355097
2024-01-04,220,260.79056266612497
2024-01-05,252,264.2830345695019
2024-01-06,234,197.50762194534076
2024-01-07,182,196.8975408550045
2024-01-08,237,225.97352133447527
2024-01-09,279,231.92892174808608
2024-01-10,231,255.63243233282708
2024-01-11,290,246.75978190619173
2024-01-12,299,279.1779304697716
2024-01-13,256,229.17988912109644
2024-01-14,219,198.21749171184706
2024-01-15,198,219.98844059919998
2024-01-16,276,236.8250298167101
2024-01-17,255,238.25460617712946
2024-01-18,226,270.38874123347057
2024-01-19,252,260.4450002411455
2024-01-20,210,224.8472701368555
2024-01-21,233,181.49890203175858
2024-01-22,244,234.46795781729358
2024-01-23,225,280.2234602052005
2024-01-24,260,231.20487767801495
2024-01-25,252,240.50632008520893
2024-01-26,267,269.4864107318253
2024-01-27,243,232.18356951535222
