Actual_ACCIDENT_COUNT,Predicted_ACCIDENT_COUNT
290.0,269.24683
285.0,272.94482
319.00003,275.9657
249.0,280.2992
306.00003,280.26233
306.00003,278.74902
297.00003,279.93536
191.0,281.72278
233.0,275.3634
247.0,264.93445
238.0,257.6119
254.0,253.53966
240.0,252.68942
279.0,253.39268
291.0,255.56819
298.0,259.99725
280.0,265.29785
255.0,268.49268
269.0,267.2424
318.0,264.01566
298.0,264.51868
286.00003,268.89667
305.0,273.08972
253.0,277.30118
234.0,277.55606
282.0,271.72867
302.0,266.29056
261.0,266.38522
335.0,268.03043
373.0,273.6215
278.0,285.6697
241.0,290.52753
277.00003,287.52924
266.0,281.56866
268.00003,273.25983
290.0,267.9921
311.0,268.36884
267.0,274.91632
181.0,280.57523
189.0,275.49243
213.0,261.79868
221.0,248.37251
203.0,240.0901
299.00003,236.08252
249.0,238.93132
275.00003,246.60605
206.00002,252.81512
225.0,253.65416
251.0,247.65788
235.0,241.90488
234.0,238.31471
181.0,236.88063
188.0,234.58766
242.0,230.05936
252.0,227.60252
216.0,229.3424
280.0,231.20233
299.00003,233.2189
247.99998,239.04372
193.0,244.15059
217.00002,242.6814
256.0,236.69388
258.0,233.02144
298.0,233.98361
235.0,239.1005
229.0,245.40965
243.0,246.9665
254.0,245.66663
235.0,243.54312
256.0,241.79071
256.0,241.08702
235.0,242.52211
260.0,244.02446
215.0,245.18011
232.0,245.19994
261.0,242.92451
256.0,242.20714
263.0,243.60635
307.0,246.04109
222.0,251.1854
207.00002,254.94887
255.0,251.97734
258.0,247.91553
236.99998,246.74597
238.0,246.71758
297.00003,246.94409
261.0,250.28738
209.0,255.47557
264.0,255.8155
259.0,254.06618
264.0,253.87541
262.0,254.24365
276.0,255.67815
252.0,258.4699
241.0,260.79318
186.00002,260.63116
226.0,256.12546
214.0,249.92079
216.0,245.47385
269.0,242.2881
239.0,243.0185
232.0,246.52243
246.0,248.43098
228.0,248.83646
311.0,248.07579
247.0,249.14706
282.0,252.4555
270.0,254.73341
264.0,257.79733
257.0,259.65732
273.0,259.87054
236.0,259.81555
297.00003,258.59604
292.0,258.8011
245.0,262.86017
213.0,265.33594
317.00003,262.5729
268.00003,261.80704
284.0,264.29736
252.0,266.49487
282.0,267.50522
233.0,267.8557
247.99998,266.48718
287.0,262.97775
247.99998,262.2835
221.0,262.72018
261.0,260.74075
247.0,258.836
226.0,258.17508
284.0,256.22195
265.0,256.02948
246.0,258.37747
274.0,259.39005
293.0,260.14682
256.0,262.53268
278.0,264.21524
246.0,264.79742
260.0,264.09302
305.0,262.2325
276.0,263.7295
226.0,267.06784
210.0,266.7213
224.0,261.61612
210.0,254.97455
218.00002,248.87169
209.0,244.33432
234.0,241.80923
236.99998,240.98456
287.0,241.8947
242.0,245.50438
222.0,249.5251
255.0,249.22417
236.99998,247.17378
273.0,245.43172
287.0,245.12436
312.0,248.58553
258.0,255.31927
269.0,261.246
302.0,262.9147
257.0,264.14352
285.0,264.13742
236.99998,263.22488
305.0,261.68985
327.0,262.08472
284.0,268.3693
261.0,275.37167
244.0,277.28555
262.0,273.8751
287.0,268.37326
301.0,265.6423
346.0,267.68112
292.0,276.04044
300.0,281.76547
298.0,284.71893
267.0,285.0662
289.0,282.13
370.00003,278.5818
298.0,280.3456
290.0,284.25824
265.0,286.73904
286.00003,286.1274
330.00003,283.6732
320.0,282.91736
313.0,284.39575
300.0,286.76248
284.0,288.3411
286.00003,287.76297
270.0,285.58478
274.0,282.32166
296.0,279.2593
296.0,278.42014
300.0,279.66986
267.0,281.9476
250.0,282.73462
286.00003,280.48148
266.0,277.16736
335.0,273.81686
312.0,275.85327
216.0,281.6291
256.0,281.79852
253.0,276.7606
268.00003,270.1743
259.0,265.3614
