Date,Actual_ACCIDENT_COUNT,Predicted_ACCIDENT_COUNT
2022-09-30,315.0,285.15152
2022-10-01,328.00003,295.6576
2022-10-02,328.00003,300.06924
2022-10-03,246.0,299.99606
2022-10-04,324.0,271.4077
2022-10-05,270.0,298.30377
2022-10-06,244.0,279.56583
2022-10-07,336.0,270.43176
2022-10-08,323.0,302.02554
2022-10-09,305.0,297.94623
2022-10-10,243.0,292.32443
2022-10-11,216.0,270.5728
2022-10-12,278.0,260.1324
2022-10-13,315.0,281.2981
2022-10-14,304.0,293.97552
2022-10-15,347.0,290.70706
2022-10-16,275.00003,305.54443
2022-10-17,247.99998,280.91302
2022-10-18,263.0,271.0292
2022-10-19,250.0,276.20963
2022-10-20,286.00003,271.50806
2022-10-21,299.00003,284.5421
2022-10-22,335.0,289.42706
2022-10-23,326.0,302.0908
2022-10-24,241.0,299.71756
2022-10-25,296.0,269.876
2022-10-26,295.0,288.89636
2022-10-27,266.0,288.58887
2022-10-28,315.0,278.5823
2022-10-29,302.0,296.08447
2022-10-30,308.00003,291.71158
2022-10-31,290.0,293.71823
2022-11-01,286.00003,287.43707
2022-11-02,279.0,286.30014
2022-11-03,322.0,283.92743
2022-11-04,318.0,299.2889
2022-11-05,287.0,298.32465
2022-11-06,294.0,286.8085
2022-11-07,232.0,289.35825
2022-11-08,280.0,267.40955
2022-11-09,231.0,283.62927
2022-11-10,259.0,266.97473
2022-11-11,266.0,276.7263
2022-11-12,310.00003,278.3551
2022-11-13,270.0,292.77545
2022-11-14,236.99998,278.17795
2022-11-15,264.0,265.59845
2022-11-16,298.0,274.1458
2022-11-17,303.0,286.43213
2022-11-18,290.0,288.26218
2022-11-19,285.0,283.69385
2022-11-20,319.00003,281.88882
2022-11-21,249.0,293.29395
2022-11-22,306.00003,269.00217
2022-11-23,306.00003,288.71606
2022-11-24,297.00003,288.94843
2022-11-25,191.0,285.67773
2022-11-26,233.0,248.43985
2022-11-27,247.0,262.86972
2022-11-28,238.0,267.34784
2022-11-29,254.0,263.63525
2022-11-30,240.0,268.62723
2022-12-01,279.0,262.8252
2022-12-02,291.0,276.44968
2022-12-03,298.0,279.66138
2022-12-04,280.0,281.95233
2022-12-05,255.0,276.03317
2022-12-06,269.0,266.5403
2022-12-07,318.0,271.01495
2022-12-08,298.0,288.31274
2022-12-09,286.00003,282.1671
2022-12-10,305.0,278.91907
2022-12-11,253.0,285.75168
2022-12-12,234.0,267.05838
2022-12-13,282.0,259.8232
2022-12-14,302.0,275.58698
2022-12-15,261.0,282.50568
2022-12-16,335.0,268.23444
2022-12-17,373.0,294.13422
2022-12-18,278.0,308.47903
2022-12-19,241.0,276.0691
2022-12-20,277.00003,262.70807
2022-12-21,266.0,274.81033
2022-12-22,268.00003,270.62387
2022-12-23,290.0,271.6337
2022-12-24,311.0,279.13315
2022-12-25,267.0,286.58472
2022-12-26,181.0,271.38858
2022-12-27,189.0,240.61772
2022-12-28,213.0,242.26106
2022-12-29,221.0,249.54399
2022-12-30,203.0,251.5586
2022-12-31,299.00003,244.41164
2023-01-01,249.0,277.4216
2023-01-02,275.00003,259.05045
2023-01-03,206.00002,267.36432
2023-01-04,225.0,242.48622
2023-01-05,251.0,248.56552
2023-01-06,235.0,257.9585
2023-01-07,234.0,251.74023
2023-01-08,181.0,251.30037
2023-01-09,188.0,232.22357
2023-01-10,242.0,233.90099
2023-01-11,252.0,252.05927
2023-01-12,216.0,255.64044
2023-01-13,280.0,242.6101
2023-01-14,299.00003,264.57452
2023-01-15,247.99998,270.39426
2023-01-16,193.0,251.60812
2023-01-17,217.00002,231.40552
2023-01-18,256.0,239.33817
2023-01-19,258.0,253.0047
2023-01-20,298.0,254.06624
2023-01-21,235.0,267.74622
2023-01-22,229.0,245.04279
2023-01-23,243.0,241.79607
2023-01-24,254.0,247.05281
2023-01-25,235.0,251.1408
