CRASH DATE,CRASH_COUNT,is_weekend,month,is_holiday,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED
2012-07-01,538,1,7,0,166.0,0.0
2012-07-02,564,0,7,0,175.0,1.0
2012-07-03,664,0,7,0,210.0,1.0
2012-07-04,432,0,7,0,156.0,0.0
2012-07-05,591,0,7,0,138.0,1.0
2012-07-06,638,0,7,0,179.0,0.0
2012-07-07,490,1,7,0,165.0,0.0
2012-07-08,464,1,7,0,137.0,1.0
2012-07-09,533,0,7,0,150.0,0.0
2012-07-10,524,0,7,0,149.0,1.0
2012-07-11,565,0,7,0,164.0,0.0
2012-07-12,577,0,7,0,155.0,1.0
2012-07-13,603,0,7,0,163.0,1.0
2012-07-14,536,1,7,0,175.0,2.0
2012-07-15,494,1,7,0,150.0,0.0
2012-07-16,528,0,7,0,158.0,2.0
2012-07-17,648,0,7,0,183.0,0.0
2012-07-18,559,0,7,0,116.0,1.0
2012-07-19,522,0,7,0,145.0,0.0
2012-07-20,604,0,7,0,175.0,0.0
2012-07-21,528,1,7,0,176.0,1.0
2012-07-22,498,1,7,0,178.0,6.0
2012-07-23,505,0,7,0,141.0,0.0
2012-07-24,574,0,7,0,111.0,0.0
2012-07-25,612,0,7,0,172.0,0.0
2012-07-26,604,0,7,0,161.0,0.0
2012-07-27,638,0,7,0,165.0,0.0
2012-07-28,513,1,7,0,175.0,1.0
2012-07-29,376,1,7,0,104.0,0.0
2012-07-30,530,0,7,0,140.0,2.0
2012-07-31,540,0,7,0,123.0,0.0
2012-08-01,616,0,8,0,150.0,0.0
2012-08-02,570,0,8,0,156.0,1.0
2012-08-03,589,0,8,0,145.0,1.0
2012-08-04,568,1,8,0,146.0,1.0
2012-08-05,518,1,8,0,173.0,0.0
2012-08-06,593,0,8,0,150.0,1.0
2012-08-07,547,0,8,0,143.0,0.0
2012-08-08,528,0,8,0,133.0,1.0
2012-08-09,581,0,8,0,163.0,2.0
2012-08-10,617,0,8,0,165.0,1.0
2012-08-11,507,1,8,0,155.0,2.0
2012-08-12,505,1,8,0,150.0,0.0
2012-08-13,504,0,8,0,142.0,0.0
2012-08-14,520,0,8,0,142.0,1.0
2012-08-15,602,0,8,0,151.0,0.0
2012-08-16,613,0,8,0,154.0,0.0
2012-08-17,574,0,8,0,165.0,0.0
2012-08-18,540,1,8,0,149.0,0.0
2012-08-19,467,1,8,0,146.0,0.0
2012-08-20,473,0,8,0,141.0,1.0
2012-08-21,482,0,8,0,129.0,2.0
2012-08-22,504,0,8,0,145.0,2.0
2012-08-23,574,0,8,0,177.0,2.0
2012-08-24,601,0,8,0,150.0,2.0
2012-08-25,474,1,8,0,146.0,0.0
2012-08-26,471,1,8,0,153.0,1.0
2012-08-27,548,0,8,0,166.0,3.0
2012-08-28,587,0,8,0,142.0,0.0
2012-08-29,550,0,8,0,128.0,0.0
2012-08-30,618,0,8,0,179.0,1.0
2012-08-31,701,0,8,0,217.0,2.0
2012-09-01,515,1,9,0,144.0,0.0
2012-09-02,421,1,9,0,150.0,1.0
2012-09-03,373,0,9,0,125.0,0.0
2012-09-04,606,0,9,0,186.0,0.0
2012-09-05,601,0,9,0,155.0,1.0
2012-09-06,572,0,9,0,151.0,0.0
2012-09-07,680,0,9,0,207.0,0.0
2012-09-08,598,1,9,0,197.0,0.0
2012-09-09,464,1,9,0,145.0,0.0
2012-09-10,637,0,9,0,172.0,1.0
2012-09-11,521,0,9,0,127.0,0.0
2012-09-12,651,0,9,0,154.0,1.0
2012-09-13,632,0,9,0,172.0,2.0
2012-09-14,609,0,9,0,165.0,0.0
2012-09-15,557,1,9,0,155.0,2.0
2012-09-16,458,1,9,0,125.0,1.0
2012-09-17,452,0,9,0,114.0,2.0
2012-09-18,556,0,9,0,178.0,1.0
2012-09-19,612,0,9,0,165.0,0.0
2012-09-20,522,0,9,0,132.0,3.0
2012-09-21,654,0,9,0,201.0,1.0
2012-09-22,547,1,9,0,161.0,1.0
2012-09-23,480,1,9,0,147.0,0.0
2012-09-24,562,0,9,0,151.0,1.0
2012-09-25,594,0,9,0,180.0,2.0
2012-09-26,404,0,9,0,104.0,0.0
2012-09-27,620,0,9,0,159.0,1.0
2012-09-28,703,0,9,0,188.0,2.0
2012-09-29,485,1,9,0,134.0,1.0
2012-09-30,449,1,9,0,145.0,2.0
2012-10-01,555,0,10,0,162.0,1.0
2012-10-02,593,0,10,0,191.0,0.0
2012-10-03,502,0,10,0,120.0,1.0
2012-10-04,554,0,10,0,120.0,0.0
2012-10-05,693,0,10,0,189.0,0.0
2012-10-06,500,1,10,0,132.0,0.0
2012-10-07,481,1,10,0,186.0,0.0
2012-10-08,376,0,10,0,122.0,0.0
2012-10-09,570,0,10,0,142.0,1.0
2012-10-10,640,0,10,0,187.0,0.0
2012-10-11,657,0,10,0,145.0,0.0
2012-10-12,594,0,10,0,150.0,0.0
2012-10-13,547,1,10,0,143.0,1.0
2012-10-14,517,1,10,0,173.0,1.0
2012-10-15,607,0,10,0,141.0,2.0
2012-10-16,602,0,10,0,172.0,1.0
2012-10-17,615,0,10,0,163.0,0.0
2012-10-18,630,0,10,0,141.0,0.0
2012-10-19,738,0,10,0,201.0,2.0
2012-10-20,587,1,10,0,188.0,2.0
2012-10-21,426,1,10,0,139.0,1.0
2012-10-22,609,0,10,0,149.0,2.0
2012-10-23,522,0,10,0,127.0,1.0
2012-10-24,494,0,10,0,114.0,0.0
2012-10-25,511,0,10,0,159.0,1.0
2012-10-26,598,0,10,0,166.0,2.0
2012-10-27,524,1,10,0,143.0,1.0
2012-10-28,403,1,10,0,131.0,0.0
2012-10-29,298,0,10,0,76.0,0.0
2012-10-30,372,0,10,0,88.0,0.0
2012-10-31,549,0,10,0,112.0,1.0
2012-11-01,439,0,11,0,121.0,1.0
2012-11-02,345,0,11,0,84.0,1.0
2012-11-03,307,1,11,0,85.0,0.0
2012-11-04,344,1,11,0,94.0,0.0
2012-11-05,479,0,11,0,130.0,0.0
2012-11-06,514,0,11,0,120.0,1.0
2012-11-07,718,0,11,0,200.0,0.0
2012-11-08,550,0,11,0,99.0,0.0
2012-11-09,688,0,11,0,150.0,0.0
2012-11-10,444,1,11,0,107.0,1.0
2012-11-11,526,1,11,0,141.0,0.0
2012-11-12,547,0,11,0,129.0,0.0
2012-11-13,648,0,11,0,169.0,0.0
2012-11-14,625,0,11,0,135.0,1.0
2012-11-15,623,0,11,0,129.0,1.0
2012-11-16,672,0,11,0,148.0,0.0
2012-11-17,542,1,11,0,143.0,1.0
2012-11-18,446,1,11,0,126.0,1.0
2012-11-19,585,0,11,0,139.0,0.0
2012-11-20,671,0,11,0,180.0,2.0
2012-11-21,689,0,11,0,186.0,0.0
2012-11-22,384,0,11,0,112.0,1.0
2012-11-23,481,0,11,0,136.0,0.0
2012-11-24,458,1,11,0,127.0,0.0
2012-11-25,415,1,11,0,120.0,1.0
2012-11-26,563,0,11,0,174.0,1.0
2012-11-27,583,0,11,0,134.0,0.0
2012-11-28,512,0,11,0,112.0,0.0
2012-11-29,515,0,11,0,125.0,0.0
2012-11-30,576,0,11,0,140.0,1.0
2012-12-01,480,1,12,0,128.0,0.0
2012-12-02,455,1,12,0,121.0,0.0
2012-12-03,621,0,12,0,140.0,0.0
2012-12-04,621,0,12,0,175.0,0.0
2012-12-05,514,0,12,0,120.0,0.0
2012-12-06,620,0,12,0,149.0,0.0
2012-12-07,714,0,12,0,203.0,0.0
2012-12-08,580,1,12,0,179.0,1.0
2012-12-09,544,1,12,0,192.0,0.0
2012-12-10,619,0,12,0,156.0,0.0
2012-12-11,578,0,12,0,147.0,0.0
2012-12-12,550,0,12,0,150.0,0.0
2012-12-13,545,0,12,0,131.0,1.0
2012-12-14,648,0,12,0,161.0,2.0
2012-12-15,523,1,12,0,151.0,2.0
2012-12-16,500,1,12,0,170.0,3.0
2012-12-17,649,0,12,0,178.0,2.0
2012-12-18,645,0,12,0,153.0,1.0
2012-12-19,590,0,12,0,132.0,2.0
2012-12-20,606,0,12,0,169.0,1.0
2012-12-21,751,0,12,0,199.0,0.0
2012-12-22,542,1,12,0,134.0,0.0
2012-12-23,408,1,12,0,110.0,0.0
2012-12-24,518,0,12,0,163.0,1.0
2012-12-25,354,0,12,0,122.0,0.0
2012-12-26,531,0,12,0,148.0,3.0
2012-12-27,525,0,12,0,113.0,1.0
2012-12-28,557,0,12,0,133.0,3.0
2012-12-29,442,1,12,0,131.0,2.0
